DocID,Title,MainCategory,Category,Generation,Skip,URL
c06002143,WW RPO - HP Value Barcode Scanner - 9/19 - EN,RIS,Scanner,,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06002143
c05935170,WW NB - HP ProBook 640 G4 - 01/19 - EN,Notebooks,ProBook,G4,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c05935170
c05935171,WW NB - HP ProBook 650 G4 - 1/19 - EN,Notebooks,ProBook,G4,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c05935171
c06907936,HP ProBook 635 Aero G7 Notebook PC,Notebooks,ProBook,G7,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06907936
c06951538,HP Pro c645 Chromebook,Notebooks,ChromeBook,,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06951538
c06523874,HP 268 Pro G1 MT,Desktops,200 Series,G1,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06523874
c07833187,Epson TM-T20IIIL Thermal Receipt Printer,RIS,Printer,,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c07833187
c07028700,HP Pro c640 G2 Chromebook Enterprise,Notebooks,ChromeBook,G2,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c07028700
c08142928,HP Z24m G3 QHD Conferencing Display,Displays,Z Displays,G3,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c08142928
c06636833,HP 290 G3 Small Form Factor Business PC,Desktops,200 Series,G3,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06636833
c04984422,HP t630 Thin Client,Thin Clients,Thin Client,,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c04984422
c04957273,HP t628 Thin Client,Thin Clients,Thin Client,,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c04957273
c05561757,HP mt21 Mobile Thin Client,Thin Clients,Mobile Thin Client,,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c05561757
c05105339,Networking Adapters for Workstation Quickspecs,Workstations,Accessories,,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c05105339
c06457771,WW PB - HP 470 G7 Notebook PC - 09/27 - EN,Notebooks,Probook,G7,Yes,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c06457771
c07048012,HP EliteDesk 800 G8 and HP EliteOne 800 G8 Desktops PCs,Desktops,EliteDesk,G8,,https://www8.hp.com/h20195/v2/GetDocument.aspx?docname=c07048012
